84,-1,313.8,1.2,278.4,479.8,1
84,-1,1.8,1,237,480,1
610,-1,208,1,234.4,480,1
610,-1,90.9,120.1,91.8,225.8,1
29,-1,58.6,86.4,127,346.6,1
29,-1,233.5,100.5,126.1,314.8,1
212,-1,282.5,4.3,238,476.7,1
212,-1,3.5,1,203,480,1
212,-1,520.5,185.7,29.6,84.8,0.999
212,-1,160.5,53.2,108.6,362.8,0.356
212,-1,544.6,197.1,22.3,55.3,0.069
263,-1,97.7,10.1,213.5,470.9,1
263,-1,317.1,122.6,99.1,262.2,1
263,-1,451.2,13.4,189.8,467.6,0.896
263,-1,381.8,157.3,51,184.2,0.103
649,-1,274,138.4,72.4,224.5,1
649,-1,46.5,1,184.2,480,1
649,-1,386,5.2,255,475.8,0.998
649,-1,202.1,138,69.1,219.7,0.988
805,-1,161.9,178.9,41,114.7,1
805,-1,288,39.7,217.3,424.1,1
805,-1,209.4,185.9,30.6,88.5,0.999
805,-1,25.6,144.1,49.2,156.8,0.999
805,-1,235,125.5,90.8,221.4,0.999
805,-1,64.5,156.7,36.9,136.7,0.987
805,-1,82.6,166.9,42,119.8,0.946
805,-1,441.7,10.3,99.5,470.7,0.481
533,-1,205.6,17.5,158.6,463.5,1
533,-1,77.8,149.6,67.2,176.9,1
533,-1,366.6,101.1,102.6,316.9,0.999
533,-1,487.1,1,153.9,480,0.831
533,-1,157.3,158.1,40.4,131.9,0.131
604,-1,186.3,1,241.4,480,1
604,-1,129.5,146.4,72.4,182.4,1
732,-1,145.3,71.6,122.4,383.1,1
732,-1,118.8,206.1,22,55,1
732,-1,73.5,193.5,31.4,81.4,1
732,-1,262.6,164.4,48,155.5,0.997
732,-1,319.5,126,104.5,291.2,0.981
732,-1,374.4,1,266.6,480,0.792
352,-1,330,1,209.5,480,1
352,-1,192.5,162,52.5,113.4,1
352,-1,124.6,120.6,71.7,178.1,1
352,-1,66.6,127.4,69.4,164.4,0.999
352,-1,508.6,63.9,106,340.8,0.998
487,-1,390.8,96.4,107.2,325.3,1
487,-1,18.8,4.5,270.8,476.5,0.999
487,-1,491.3,89.1,109.7,328.2,0.814
487,-1,236.8,35,105.5,411.6,0.144
295,-1,27.8,38.3,192.1,442.7,1
295,-1,243.3,58,127.5,417.1,1
295,-1,362.5,159.3,69,186.2,0.999
295,-1,451.9,12.2,145.9,448.4,0.885
393,-1,488.3,99,152.7,316.3,1
393,-1,66.4,214.4,26.4,67.5,1
393,-1,257.7,163.4,57.4,154.2,1
393,-1,210,164,53.4,151,1
393,-1,393.7,196.7,33.5,87.2,1
393,-1,328.2,220.3,14.1,37.4,0.995
393,-1,342.8,221.6,15.1,35.9,0.991
663,-1,275.2,134.5,64.8,208.9,1
663,-1,399.4,2.7,241.6,478.3,1
663,-1,25,128,80.2,211.8,1
663,-1,75.1,1,161.8,480,1
663,-1,219.7,141,50.1,185.7,0.078
95,-1,310.7,2.3,272.5,478.7,1
95,-1,1.1,1,234.4,480,1
56,-1,6.8,1,223.4,480,1
56,-1,296.7,15,259.7,466,1
12,-1,65.6,136.2,87.3,233,1
12,-1,171.8,139.5,104.9,219.8,1
12,-1,269.9,203.6,25.8,69,1
12,-1,317.3,202.2,28.4,70.9,1
12,-1,295.4,202.6,24.5,68.4,0.999
12,-1,383.7,217.8,14.4,33.4,0.998
12,-1,155.1,196.5,25.2,72.9,0.94
12,-1,397.7,218.9,13.8,32.5,0.101
39,-1,278,62,188.6,417.9,1
39,-1,71,48.3,154.1,432.7,1
39,-1,460.9,186.9,30,87.1,1
